"gss_cp;""gss_insee"";""gss_ville"";""str_nom_commercial"";""sregion_lib"";""scentre_lib"";""gri_nom"""
"92300;""92044"";""LEVALLOIS PERRET"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"92600;""92004"";""ASNIERES SUR SEINE"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"92400;""92026"";""COURBEVOIE"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"92270;""92009"";""BOIS COLOMBES"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"92120;""92049"";""MONTROUGE"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"92320;""92020"";""CHATILLON"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"92310;""92072"";""SEVRES"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"02590;""02815"";""VILLERS ST CHRISTOPHE"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"02590;""02032"";""AUBIGNY AUX KAISNES"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"02700;""02049"";""BARISIS AUX BOIS"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"02800;""02074"";""BERTAUCOURT EPOURDON"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"02300;""02207"";""COMMENCHON"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"02300;""02145"";""CAUMONT"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"02300;""02754"";""UGNY LE GAY"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"02600;""02201"";""COEUVRES ET VALSERY"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"02600;""02415"";""LAVERSINE"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"02600;""02254"";""CUTRY"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"02160;""02364"";""GUYENCOURT"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"02160;""02656"";""ROUCY"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"02160;""02208"";""CONCEVREUX"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"02160;""02104"";""BOUFFIGNEREUX"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"02820;""02215"";""CORBENY"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"02160;""02234"";""CRAONNE"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"02480;""02246"";""CUGNY"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"02480;""02019"";""ANNOIS"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"02300;""02546"";""LA NEUVILLE EN BEINE"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"02300;""02056"";""BEAUMONT EN BEINE"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"02340;""02264"";""DIZY LE GROS"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"02350;""02274"";""EBOULEAU"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"02350;""02350"";""GOUDELANCOURT LES PIERREPONT"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"02250;""02513"";""MONTIGNY LE FRANC"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"02250;""02283"";""ERLON"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"02250;""02827"";""VOYENNE"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"02250;""02460"";""MARCY SOUS MARLE"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"02270;""02306"";""LA FERTE CHEVRESIS"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"02270;""02184"";""CHEVRESIS MONCEAU"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"02270;""02480"";""MESBRECOURT RICHECOURT"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"02520;""02315"";""FLAVY LE MARTEL"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"02800;""02335"";""FRESSANCOURT"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"02870;""02329"";""FOURDRAIN"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"02870;""02122"";""BRIE"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"02800;""02651"";""ROGECOURT"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"02800;""02788"";""VERSIGNY"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"02700;""02336"";""FRIERES FAILLOUEL"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"02500;""02445"";""LUZOIR"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"02260;""02418"";""LERZY"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"02260;""02342"";""GERGNY"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"02260;""02337"";""FROIDESTREES"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"02580;""02728"";""SORBAIS"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"02260;""02725"";""SOMMERON"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"02500;""02425"";""LEUZE"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"02580;""02295"";""ETREAUPONT"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"02500;""02833"";""WIMY"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"02350;""02600"";""PIERREPONT"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"02350;""02353"";""GRANDLUP ET FAY"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
"02140;""02369"";""HARCIGNY"";""CIRCET"";""IDF"";""CIRCET-PARIS"";""CIRCET 75"""
